License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2603397,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,"BLUE TUSK OF CENTRAL NEW YORK INC, THE",,165 WALTON ST,CLINTON & FRANKLIN,SYRACUSE,NY,13202,863819,8/26/2004,8/1/2016,7/31/2018,43.04791462,-76.15515242,"(43.04791462, -76.15515242)"
2603411,"DRUG CHAIN, WINE PROD",126,DX,Albany,2,ONONDAGA,ECKERD CORPORATION,RITE AID PHARMACY #10756,1820 TEALL AVE,,SYRACUSE,NY,13206,871662,9/14/2004,8/1/2015,7/31/2018,43.07377265,-76.12313692,"(43.07377265, -76.12313692)"
2603449,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,ALIMENTOS RESTAURANT INC,FRANCESCA'S CUCINA,541 N SALINA ST,BUTTERNUT & ASH ST,SYRACUSE,NY,13208,864963,10/12/2004,10/1/2016,9/30/2018,43.05866367,-76.15209412,"(43.05866367, -76.15209412)"
2603511,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,LIZARD INC,THE LIMP LIZARD LOUNGE BAR & GRILL,4628 ONONDAGA BLVD,VELASKO & TERRY,SYRACUSE,NY,13219,865771,10/8/2004,10/1/2016,9/30/2018,43.03208581,-76.19409644,"(43.03208581, -76.19409644)"
2603516,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,ABDO D MURSHED,DREAM FOOD MARKET,518 WOLF ST,1ST NORTH & SPRING,SYRACUSE,NY,13208,884598,12/8/2004,12/1/2016,11/30/2019,43.07353762,-76.16240229,"(43.07353762, -76.16240229)"
2603540,CATERING ESTABLISHMENT,246,CT,Albany,2,ONONDAGA,CATZ LLC,,1 CONSERVATION PL,,SYRACUSE,NY,13204,864855,10/21/2004,10/1/2016,9/30/2018,43.04497,-76.17662,"(43.04497, -76.17662)"
2603622,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,BRIGHTON GROCERY INC,BRIGHTON GROCERY,833 E BRIGHTON AVE,,SYRACUSE,NY,13205,853386,12/10/2004,12/1/2013,11/30/2016,43.00431814,-76.13057058,"(43.00431814, -76.13057058)"
2603683,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,LIMERICK PUB INC,LIMERICK PUB,134 WALTON ST,CLINTON & FRANKLIN,SYRACUSE,NY,13202,843421,1/25/2005,2/1/2015,1/31/2017,43.04802485,-76.1548671,"(43.04802485, -76.1548671)"
2603689,CATERING ESTABLISHMENT,246,CT,Albany,2,ONONDAGA,PENSABENE BROTHERS LLC,PENSABENES CASA GRANDE,135 STATE FAIR BLVD,W GENESEE & STATE FAIR BLVD,SYRACUSE,NY,13204,842696,2/10/2005,2/1/2015,1/31/2017,43.05314698,-76.18072415,"(43.05314698, -76.18072415)"
2603791,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,UPSTATE CONVENIENCE MARKET LLC,,919 SOUTH AVE,KENNEDY & SOUTH AVE,SYRACUSE,NY,13207,859322,4/1/2005,4/1/2014,3/31/2017,43.0284216,-76.15785101,"(43.0284216, -76.15785101)"
2603796,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,NAYNME INC,DANIELLA'S STEAKHOUSE,670 STATE FAIR BLVD,BRIDGE & STATE 695,SYRACUSE,NY,13209,844420,3/31/2005,3/1/2015,2/28/2017,43.0814504,-76.22794269,"(43.0814504, -76.22794269)"
2603857,TAVERN WINE,344,TW,Albany,2,ONONDAGA,BEAR CLAN ENTERPRISES LLC,BADA BING,234 WOLF ST,N SALINA & PARK,SYRACUSE,NY,13208,867103,5/3/2005,5/1/2015,4/30/2017,43.07023103,-76.16486845,"(43.07023103, -76.16486845)"
2603895,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,BEACH 944 ENTERPRISES LLC,"ALE ""N"" ANGUS PUB",238 HARRISON ST,HARRISON & MONTGOMERY,SYRACUSE,NY,13202,848754,7/10/2006,6/1/2015,5/31/2017,43.04423232,-76.14978964,"(43.04423232, -76.14978964)"
2604014,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,JPD JR INC,JP'S PUB,1709 BURNET AVE,,SYRACUSE,NY,13206,848979,6/20/2005,6/1/2015,5/31/2017,43.05676084,-76.11290981,"(43.05676084, -76.11290981)"
2604028,CLUB LIQUOR,243,CL,Albany,2,ONONDAGA,CUSE DAWGS INC,,510 MIDLAND AVE,MIDLAND & BELLEVUE AVE,SYRACUSE,NY,13202,850777,7/28/2005,7/7/2015,6/30/2017,43.03358704,-76.15566818,"(43.03358704, -76.15566818)"
2604046,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,VAN BUREN FOOD MARKET INC,SENECA KNOLLS BIG M,7252 STATE FAIR BLVD,,SYRACUSE,NY,13209,828816,7/11/2005,7/1/2014,6/30/2017,43.12131763,-76.28656406,"(43.12131763, -76.28656406)"
2604106,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,J M KERWIN INC,TIKKI TURTLE,581 ST FAIR BLVD SPACE #255,T/O GEDDES,SYRACUSE,NY,13209,876856,3/22/2006,4/1/2016,10/31/2016,,,
2604159,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,"SEAFOOD TAVERN LLC,THE",THE SEAFOOD TAVERN,NYS FAIRGROUNDS-SPACE 328,T/O GEDDES,SYRACUSE,NY,13209,880121,8/22/2005,8/1/2016,10/31/2016,,,
2604265,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,FRANCISCO A RODRIGUEZ,LAS DELICIAS RESTAURANT,552 WESTCOTT ST,VICTORIA & BEECH,SYRACUSE,NY,13210,817457,10/6/2005,10/8/2015,9/30/2017,43.04044643,-76.11924852,"(43.04044643, -76.11924852)"
2604367,WHOLESALE BEER(CO),105,CO,Albany,2,ONONDAGA,SOUTHERN GLAZER'S WINE AND SPIRITS OF UPSTATE,NEW YORK LLC   SUITE 1100-A,"AXA TWR II 120 MADISON ST,",,SYRACUSE,NY,13202,885052,3/25/2005,7/15/2016,6/30/2017,0,0,"(0.0, 0.0)"
2604368,WHOLESALE CIDER,104,BC,Albany,2,ONONDAGA,SOUTHERN GLAZER'S WINE AND SPIRITS OF UPSTATE,NEW YORK LLC  SUITE 1100-A,AXA TWR II 120 MADISON ST,,SYRACUSE,NY,13202,885053,4/1/2005,7/15/2016,3/31/2017,43.0454223,-76.14962439,"(43.0454223, -76.14962439)"
2604369,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,ASTI CAFFE INC,ASTIS CAFFE & TRATTORIA,411 N SALINA ST,,SYRACUSE,NY,13203,855052,11/17/2005,11/1/2015,10/31/2017,43.05626983,-76.15206923,"(43.05626983, -76.15206923)"
2604378,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,ASJJM INC,WHEELER'S TAVERN,415 AVERY AVE,,SYRACUSE,NY,13204,856062,12/7/2005,12/1/2015,11/30/2017,43.04858518,-76.19213025,"(43.04858518, -76.19213025)"
2604411,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,BRICK & BARREL LLC,SHIFTY'S BAR AND GRILL,1401 - 1407 BURNET AVE,,SYRACUSE,NY,13206,859314,4/3/2006,4/1/2016,3/31/2018,43.05503657,-76.11932652,"(43.05503657, -76.11932652)"
2604437,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,K & G OF SYRACUSE INC,A-PLUS MINI MART,2500 ERIE BLVD E,,SYRACUSE,NY,13224,865713,2/24/2006,2/4/2015,1/31/2018,43.05347155,-76.10398033,"(43.05347155, -76.10398033)"
2604523,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,METRO LOUNGE & CAFE LLC,METRO LOUNGE,503-505 WESTCOTT ST,HOWARD PLACE & VICTORIA,SYRACUSE,NY,13210,843103,1/8/2007,1/1/2015,12/31/2016,43.04143986,-76.11926332,"(43.04143986, -76.11926332)"
2604526,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,EDDIE'S EAGLE MARKET INC,EDDIE'S EAGLE MARKET,140 OAKWOOD AVE,BURT & E RAYNOR,SYRACUSE,NY,13202,862755,2/14/2006,2/1/2015,1/31/2018,43.03894716,-76.14566782,"(43.03894716, -76.14566782)"
2604837,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,TIPPERARY HILL PUB VENTURE INC,ROSIES SPORTS PUB,101 HAMILTON ST,& 1443 W GENESEE ST,SYRACUSE,NY,13204,864463,8/9/2006,8/1/2016,7/31/2018,43.05176533,-76.18318817,"(43.05176533, -76.18318817)"
2604915,CATERING ESTABLISHMENT,246,CT,Albany,2,ONONDAGA,MORRISON MANAGEMENT SPECIALISTS INC,,750 EAST ADAMS ST,,SYRACUSE,NY,13210,864591,9/5/2006,9/1/2016,8/31/2018,43.04263008,-76.14054225,"(43.04263008, -76.14054225)"
2604927,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,"FILL ""N"" FLY PETROLEUM, INC.",,631 S GEDDES STREET,SEYMOUR & SHONNARD STS,SYRACUSE,NY,13204,866999,6/20/2006,6/1/2015,5/31/2018,43.04162959,-76.17167302,"(43.04162959, -76.17167302)"
2604959,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,G & L DAVIS MEAT CO INC,G & L DAVIS MEAT CO,NYS FAIR SITE 201A,T/O GEDDES,SYRACUSE,NY,13209,878635,8/22/2006,5/1/2016,10/31/2016,,,
2605012,WINERY,301,DW,Albany,2,ONONDAGA,LAKELAND WINERY INC,LAKELAND WINERY,877 STATE FAIR BLVD,,SYRACUSE,NY,13209,857811,12/3/2007,12/17/2013,11/30/2016,43.09308516,-76.24267068,"(43.09308516, -76.24267068)"
2605019,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,SONBYRNE SALES INC,,759 STATE FAIR BLVD,,SYRACUSE,NY,13209,857457,8/7/2006,7/1/2015,6/30/2018,43.08633182,-76.23710145,"(43.08633182, -76.23710145)"
2605069,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,LOST HORIZON INC,THE LOST HORIZON,140 HEADSON DRIVE,,SYRACUSE,NY,13214,848577,6/21/2007,6/1/2015,5/31/2017,43.05491498,-76.08577271,"(43.05491498, -76.08577271)"
2605112,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SMOKIN WHISKEY LLC,ALS WINE AND WHISKEY LOUNGE,321 S CLINTON ST,W FAYETTE & JEFFERSON ST,SYRACUSE,NY,13202,866503,11/20/2006,11/1/2016,10/31/2018,43.04852879,-76.15349215,"(43.04852879, -76.15349215)"
2605148,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,HANUMAAN LLC,APPETHAIZING,727 S CROUSE AVE STE 4,,SYRACUSE,NY,13210,816745,9/22/2006,9/1/2015,8/31/2017,43.0423724,-76.13655471,"(43.0423724, -76.13655471)"
2605282,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,BALWI FOOD MART INC,,801 BUTTERNUT STREET,,SYRACUSE,NY,13208,880869,8/13/2007,8/1/2016,7/31/2019,43.06172017,-76.14494651,"(43.06172017, -76.14494651)"
2605293,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,3001 JAMES STREET INC,STEAK & SUNDAE,1830 TEALL AVENUE,,SYRACUSE,NY,13206,847842,2/22/2007,3/13/2015,1/31/2017,43.0740872,-76.12315175,"(43.0740872, -76.12315175)"
2605362,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,M A A PETROLEUM INC,M A A PETROLEUM,2300 COURT STREET,,SYRACUSE,NY,13208,874544,1/3/2007,1/1/2016,12/31/2018,43.08313315,-76.13758275,"(43.08313315, -76.13758275)"
2605372,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,EXTRA KLEEN FOOD & DELI LLC,,231 HAWLEY AVE,227-31 HAWLEY AVE & CATHERINE,SYRACUSE,NY,13203,875137,1/11/2007,1/1/2016,12/31/2018,43.05337781,-76.14322701,"(43.05337781, -76.14322701)"
2605388,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,MAURICE KROHL,STUDENTS CHOICE FOODS,161 MARSHALL STREET,S CROUSE AVE & UNIVERSITY AVE,SYRACUSE,NY,13210,875244,1/8/2007,1/1/2016,12/31/2018,43.04164969,-76.1353121,"(43.04164969, -76.1353121)"
2605427,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,BIG APPLE MARKET INC,,1410 S SALINA STREET,,SYRACUSE,NY,13205,875698,2/5/2007,2/1/2016,1/31/2019,43.03287024,-76.14883852,"(43.03287024, -76.14883852)"
2605449,"DRUG CHAIN, WINE PROD",126,DX,Albany,2,ONONDAGA,KPH HEALTHCARE SERVICES INC,KINNEY DRUGS #85,104 LAFAYETTE ROAD,,SYRACUSE,NY,13205,873911,1/25/2007,1/1/2016,12/31/2018,43.00123714,-76.12945245,"(43.00123714, -76.12945245)"
2605496,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,WORLD BAR OF SYRACUSE INC,WORLD LOUNGE & MARTINI BAR WORLD,134 EAST GENESEE STREET,WARREN & SALINA,SYRACUSE,NY,13202,850989,9/14/2009,9/1/2015,8/31/2017,43.05018221,-76.15117508,"(43.05018221, -76.15117508)"
2605547,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,JADA BADWAN,THE BEVERAGE BARON,627 BALLANTYNE RD,CNR BALLANTYNE RD & CORAL AVE,SYRACUSE,NY,13207,878093,6/4/2007,6/1/2016,5/31/2019,43.010301,-76.15066385,"(43.010301, -76.15066385)"
2605629,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,EMPIRE BREWING COMPANY INC,EMPIRE BREWING COMPANY,120 WALTON STREET,CLINTON & FRANKLIN,SYRACUSE,NY,13202,850078,7/13/2007,7/1/2015,6/30/2017,43.04802383,-76.15473537,"(43.04802383, -76.15473537)"
2605631,MICRO BREWER,101,MI,Albany,2,ONONDAGA,EMPIRE BREWING COMPANY INC,EMPIRE BREWING COMPANY,120 WALTON STREET,,SYRACUSE,NY,13202,879980,7/13/2007,7/1/2016,6/30/2017,43.04802383,-76.15473537,"(43.04802383, -76.15473537)"
2605688,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,MOUSA ALZOKARI,BURNET DELI,832 BURNET AVE  FIRST FLOOR,CORNER OF BEACH & CURNET AVE,SYRACUSE,NY,13203,857915,2/12/2008,2/1/2014,1/31/2017,43.05243314,-76.12839675,"(43.05243314, -76.12839675)"
2605779,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,MALONEYS MARKET INC,,405 STOLP AVENUE,HUBBELL & ROBERT AVE,SYRACUSE,NY,13207,878687,7/19/2007,7/1/2016,6/30/2019,43.03018418,-76.1705486,"(43.03018418, -76.1705486)"
2605813,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,ASILS PUB LLC,ASILS PUB,220 CHAPEL DRIVE,SHRINEVIEW DR & BEVERLY DR,SYRACUSE,NY,13219,847378,9/19/2007,9/1/2015,8/31/2017,43.0450863,-76.24303222,"(43.0450863, -76.24303222)"
2605854,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,LPT WE LLC,WHELANDS AT THE FAIR,SPACE 302 NYS FAIR,STATE FAIR BLVD T/O GEDDES,SYRACUSE,NY,13209,883791,8/2/2007,8/9/2016,10/31/2016,,,
2605912,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,JOSEPH A TODISCO,JJ'S,581N STATE FAIR BLVD SPACE 506,T/O GEDDES,SYRACUSE,NY,13209,879735,7/16/2007,7/1/2016,10/31/2016,,,
2606061,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,SHRI VARAIMA INC,TOOMEY ABBOTT MARKET,1213 ALMOND STREET,TAYLOR & BURT,SYRACUSE,NY,13210,885926,11/20/2007,11/1/2016,10/31/2019,43.03896071,-76.14205567,"(43.03896071, -76.14205567)"
2606169,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,DINOSAUR RESTAURANTS LLC,DINOSAUR BAR B QUE,246 WEST WILLOW STREET,N FRANKLIN & S CLINTON ST,SYRACUSE,NY,13202,860167,5/29/2008,5/1/2016,4/30/2018,43.05245269,-76.15450427,"(43.05245269, -76.15450427)"
2606361,WHOLESALE LIQUOR,203,LL,Albany,2,ONONDAGA,SOUTHERN GLAZER'S WINE AND SPIRITS OF UPSTATE,NEW YORK LLC,3063 COURT STREET,BROOKLAND DR & TEALL AVE,SYRACUSE,NY,13208,884625,2/29/2008,11/1/2016,10/31/2019,43.08294497,-76.12489586,"(43.08294497, -76.12489586)"
2606374,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,MAHIMA ONE CORPORATION,LAKELAND MINI MART,915 STATE FAIR BOULEVARD,CONKLIN & STATE FAIR BLVD,SYRACUSE,NY,13209,859977,7/28/2008,7/1/2014,6/30/2017,43.0959431,-76.24504233,"(43.0959431, -76.24504233)"
2606387,CABARET LIQUOR,256,CR,Albany,2,ONONDAGA,"WESTCOTT INC, THE",,524 WESTCOTT STREET,,SYRACUSE,NY,13210,785825,9/11/2008,9/8/2016,8/31/2018,43.04102732,-76.11937572,"(43.04102732, -76.11937572)"
2606429,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,ARMORY CORPORATION,SABATINOS PIZZA & DELI,1000 S GEDDES STREET,FITCH ST & PUTNAM ST,SYRACUSE,NY,13204,829157,6/17/2008,6/1/2014,5/31/2017,43.03796432,-76.17326747,"(43.03796432, -76.17326747)"
2606712,LIQUOR STORE,222,L,Albany,2,ONONDAGA,NILKANTH VARNI INC,HUD LIQUOR STORE,116 OAKWOOD AVENUE,BURT STREET & E TAY DR,SYRACUSE,NY,13202,856734,8/27/2008,5/27/2015,7/31/2017,43.03920074,-76.14567862,"(43.03920074, -76.14567862)"
2606752,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,LSSS ENTERPRISE LLC,SHAMROCK AT THE FAIR,911 CAYUGA AVE,NYS FAIR #875 T/O GEDDES,SYRACUSE,NY,13209,881477,8/6/2008,7/20/2016,10/31/2016,,,
2606764,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,ABDO M DABWAN,LANCASTER MARKET,1007 LANCASTER AVENUE,EUCLID AVE & BROAD STREET,SYRACUSE,NY,13210,861171,11/6/2008,11/1/2014,10/31/2017,43.03196625,-76.12265716,"(43.03196625, -76.12265716)"
2606828,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,SKY MARKET LLC,,1504 LODI ST,,SYRACUSE,NY,13208,862179,11/25/2008,11/1/2014,10/31/2017,43.06086529,-76.14866093,"(43.06086529, -76.14866093)"
2606914,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,MAGDI M ALMAGRABI,GRABYS,748 WESTCOTT STREET,EUCLID AVE & REDFIELD PLACE,SYRACUSE,NY,13210,861599,11/13/2008,11/1/2014,10/31/2017,43.03770121,-76.11908666,"(43.03770121, -76.11908666)"
2606988,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,NEWFYS TAVERN INC,,552 HICKOK AVENUE,BURNET AVE & JAMES STREET,SYRACUSE,NY,13206,848402,4/2/2009,4/1/2015,3/31/2017,43.05751513,-76.11318316,"(43.05751513, -76.11318316)"
2607034,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,VIG LLC,DOLCE VITA BAR & GRILL,907 EAST GENESEE STREET,IRVING & CROUSE,SYRACUSE,NY,13210,847928,5/29/2009,5/1/2015,4/30/2017,43.04701436,-76.13763405,"(43.04701436, -76.13763405)"
2607213,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,DOMINICK LOMBARDI AND JOHN LOMBARDI,LOMBARDI FRUIT & VEGETABLE CO LOMBARDI IMPORTS,534 BUTTERNUT STREET,LODI STREET & NORTH MCBRIDE ST,SYRACUSE,NY,13208,873953,12/11/2009,12/1/2015,11/30/2018,43.05933647,-76.14807706,"(43.05933647, -76.14807706)"
2607343,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,J RYANS LLC,J RYANS,253 E WATER ST,,SYRACUSE,NY,13202,854815,11/4/2009,11/1/2015,10/31/2017,43.05050272,-76.14999836,"(43.05050272, -76.14999836)"
2607756,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,KOMACHI INC,KOMACHI,727 S CROUSE AVE,STE 2 CAMPUS SHOPPING PLAZA,SYRACUSE,NY,13210,827901,4/7/2010,4/1/2015,3/31/2017,43.0423724,-76.13655471,"(43.0423724, -76.13655471)"
2607882,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,COPPERTOP TAVERN CAMILLUS LLC,COPPERTOP TAVERN,3380 MILTON AVE,MILTON ST & ONONDAGA ST,SYRACUSE,NY,13219,852730,11/30/2009,11/1/2015,10/31/2017,43.0510944,-76.24077839,"(43.0510944, -76.24077839)"
2608044,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,700 N SALINA STREET LLC,ATTILIOS RISTORANTE,700 N SALINA STREET,CATAWBA ST & EAST DIVISION ST,SYRACUSE,NY,13208,855865,2/25/2010,2/1/2016,1/31/2018,43.06057535,-76.15308039,"(43.06057535, -76.15308039)"
2608199,LIQUOR STORE,222,L,Albany,2,ONONDAGA,SHANMERU LIQUORS INC,WESTCOTT LIQUORS,111 HARVARD PLACE,WESTCOTT ST & CAMBRIDGE ST,SYRACUSE,NY,13210,876422,4/23/2010,4/1/2016,3/31/2019,43.04160099,-76.11848949,"(43.04160099, -76.11848949)"
2608411,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,TOPS PT LLC,TOPS MARKET #369,181 SHOP CITY PLAZA,,SYRACUSE,NY,13206,878005,6/24/2010,6/1/2016,5/31/2019,43.07372093,-76.11838593,"(43.07372093, -76.11838593)"
2608414,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,TOPS PT LLC,TOPS MARKET #362,620 NOTTINGHAM ROAD,,SYRACUSE,NY,13224,878006,6/24/2010,6/1/2016,5/31/2019,43.02203553,-76.10975257,"(43.02203553, -76.10975257)"
2608430,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,TOPS PT LLC,TOPS MARKET #370,2120 W GENESEE ST,,SYRACUSE,NY,13219,878009,6/24/2010,6/1/2016,5/31/2019,43.04818942,-76.19722932,"(43.04818942, -76.19722932)"
2608492,"DRUG CHAIN, WINE PROD",126,DX,Albany,2,ONONDAGA,WALGREEN EASTERN CO INC,WALGREENS,2329 JAMES ST,NEC OF GRANT & JAMES,SYRACUSE,NY,13206,875969,3/25/2010,2/1/2016,1/31/2019,43.06852504,-76.11417112,"(43.06852504, -76.11417112)"
